ENSG,IT02,IT202,IT1H2,IT2H2,IT4H2,IT24H2
ENSG00000000003,13,3,3,0,7,5
ENSG00000000419,1873,1476,2058,762,1005,384
ENSG00000000457,186,138,861,343,467,198
ENSG00000000460,329,278,1796,3326,19564,2290
ENSG00000000938,28,24,42,12,6,2
ENSG00000000971,9,9,40,8,25,5
ENSG00000001036,47,25,35,13,17,31
ENSG00000001084,457,375,458,151,545,295
ENSG00000001167,506,383,821,578,843,239
ENSG00000001460,57,40,126,69,63,85
ENSG00000001461,615,490,1363,572,610,346
ENSG00000001497,940,687,858,393,816,398
ENSG00000001561,64,44,92,48,44,55
ENSG00000001617,80,63,26,6,1,0
ENSG00000001626,0,1,0,1,6,2
ENSG00000001629,2058,1509,3202,1688,2546,1158
ENSG00000001630,921,629,884,578,582,1496
ENSG00000001631,1043,723,1733,874,1148,655
ENSG00000002016,106,79,305,162,167,248
ENSG00000002079,3,2,4,0,1,0
ENSG00000002330,222,171,348,87,61,62
ENSG00000002549,810,580,1017,387,1099,470
ENSG00000002586,0,1,2,1,2,0
ENSG00000002586,0,0,0,0,1,0
ENSG00000002587,0,0,0,0,1,5
ENSG00000002726,0,0,0,0,2,0
ENSG00000002746,1,11,4,1,4,0
ENSG00000002822,7245,5417,10954,3499,5530,2084
ENSG00000002834,1204,950,1382,634,429,304
ENSG00000002919,95,85,97,57,92,76
ENSG00000003056,161,94,477,256,362,229
ENSG00000003096,106,38,72,56,26,23
ENSG00000003137,1,0,1,0,2,0
ENSG00000003147,81,75,214,78,69,11
ENSG00000003249,1,0,6,2,0,3
ENSG00000003393,252,195,425,172,309,279
ENSG00000003400,1216,903,2267,945,1075,72
ENSG00000003402,2776,2096,5767,3089,5714,1838
ENSG00000003436,9,5,21,10,21,1
ENSG00000003509,647,433,743,224,294,116
ENSG00000003756,3689,2850,5158,2191,2262,1199
ENSG00000003987,0,1,1,2,1,0
ENSG00000003989,0,0,0,2,0,1
ENSG00000004059,42,27,59,36,31,29
ENSG00000004139,695,483,736,239,348,503
ENSG00000004142,148,121,172,78,149,204
ENSG00000004399,474,350,521,128,104,32
ENSG00000004455,270,233,585,385,1245,837
ENSG00000004468,350,223,584,309,753,264
ENSG00000004478,246,193,342,141,424,419
ENSG00000004487,2607,1748,1256,522,1220,495
ENSG00000004534,1928,1427,3896,2396,4802,1422
ENSG00000004660,59,50,144,46,110,125
ENSG00000004700,458,320,553,319,274,330
ENSG00000004766,1039,600,1764,819,1059,439
ENSG00000004777,29,30,38,17,17,30
ENSG00000004779,385,318,670,373,716,413
ENSG00000004809,2,2,0,2,1,0
ENSG00000004838,6,3,4,2,1,1
ENSG00000004846,0,0,3,0,1,0
ENSG00000004848,0,0,0,0,0,1
ENSG00000004864,650,391,642,369,902,782
ENSG00000004866,1633,1200,2612,835,1936,628
ENSG00000004897,2030,1430,1782,626,686,482
ENSG00000004939,0,0,0,1,0,0
ENSG00000004961,59,45,115,95,119,67
ENSG00000004975,90,92,120,41,64,50
ENSG00000005001,2,0,1,0,0,0
ENSG00000005007,2666,1919,2314,1077,1986,651
ENSG00000005020,20,17,72,46,89,120
ENSG00000005022,45,32,60,34,82,76
ENSG00000005059,6777,4827,10472,4504,3237,798
ENSG00000005075,59,44,46,27,36,19
ENSG00000005100,58,36,74,108,402,315
ENSG00000005102,9,5,7,7,4,3
ENSG00000005108,4,4,18,10,9,1
ENSG00000005156,605,458,481,218,475,251
ENSG00000005175,643,422,768,343,538,451
ENSG00000005187,76,65,96,31,58,21
ENSG00000005189,1,3,8,5,2,44
ENSG00000005194,252,166,365,269,451,327
ENSG00000005206,621,516,859,386,453,237
ENSG00000005238,20,26,36,28,15,4
ENSG00000005243,7,1,49,17,31,52
